No.	英単語	意味	処理用	例文1	例文1（日本語）
1	follow	〜（の後）に続く，（指示・方針など)に従う			
1.1	following	次の，以下のような			
2	consider	～を考慮する，AをBとみなす(+A as B)，Vしようかと思う(+Ving)			
2.1	consideration	考慮，思いやり			
2.2	considerate	思いやりのある			
2.3	considering	〜を考慮すると			
3	increase	増える，～を増やす，増加（アクセント変）			
3.1	increasingly	ますます			
4	expect	～を予期する，予想する，期待する			
4.1	expectation	予期，期待			
5	decide	Vする決意する(+to V)，～を決定する			
5.1	decision	決意，決定			
5.2	decisive	決定的な			
6	develop	発達する，～を発達させる，〜を開発する			
6.1	development	発達，成長，開発			
7	provide	～を供給する，与える			
7.1	provision	供給，用意			
7.2	provided	もし〜ならば			
8	continue	続く，（～を）続ける			
8.1	continuous	絶え間ない			
8.2	continual	繰り返される			
8.3	continuity	連続性			
9	include	～を含む，含める			
9.1	including	〜を含めて			
10	remain	ままでいる，とどまる，遺物，遺跡			
11	reach	～に着く，〜に達する，届く範囲			
12	allow	～を許可する，許す，〜を可能にする(=enable)			
13	force	～を強制する，力，暴力(=violence)，軍隊			
14	offer	～を申し出る，〜を与える，申し出，提案			
14.1	offering	申し出，提供，供え物			
15	realize	～を悟る，〜に気づく，〜を実現する			
15.1	realization	認識，理解，実現			
16	suggest	～と提案する，〜をほのめかす			
16.1	suggestion	提案，暗示			
17	require	～を必要とする(=need)，〜を要求する(=demand)			
17.1	requirement	要求される物，必要条件			
18	worry	心配する，〜に心配させる，心配（事）			
19	wonder	～かと疑問に思う(+wh/if節)，Aを不思議に思う(+at A)，驚き，不思議			
19.1	wonderful	すばらしい			
20	cost	（費用）を要する，〜を奪う，費用，犠牲			
20.1	costly	高価な，損失の大きい			
21	tend	Vする傾向がある，Vしがちである(+to V)			
21.1	tendency	傾向，癖			
22	depend	Aに依存する，Aしだいで決まる(+on A)			
22.1	dependent	依存する			
22.2	dependence	依存			
23	share	～を分け合う，共有する，分け前，分担，役割			
24	demand	～を要求する，必要とする，要求，需要(⇔supply)			
24.1	demanding	骨の折れる，要求の厳しい			
25	support	～を支持する，〜を養う，〜を立証する，支持，援助			
26	hire	～を雇う(=employ)，（車など）を借りる			
27	regard	[V]AをBだと思う，みなす(+A as B)／[N]尊敬，配慮			
28	base	AがBに基づいている(A \textit{be} based on B)，基礎，根拠，基地			
28.1	basic	基礎的な			
28.2	basement	地下室，地階			
29	improve	〜を向上させる，改善する，向上する			
29.1	improvement	進歩，改善			
30	recognize	～を認める，〜を識別する			
30.1	recognition	認識，承認			
31	notice	～に気付く，〜だとわかる，通知，掲示，注意			
31.1	noticeable	目立つ，著しい			
32	suppose	～だと思う，想像する，仮定する			
32.1	supposedly	たぶん，おそらく			
33	raise	～を上げる，〜を育てる(=bring up)，〜を提起する，賃上げ(=pay raise)			
34	prefer	～をより好む			
34.1	preference	好み，好物			
34.2	preferable	より好ましい，ましな			
35	cheer	～を励ます，声援する(+for)，声援			
35.1	cheerful	陽気な			
36	suffer	（苦痛・損害など）を経験する，受ける，〜で苦しむ			
36.1	suffering	苦しみ			
37	describe	〜を描写する，〜の特徴を説明する			
37.1	description	描写，説明			
38	prevent	～を妨げる，防ぐ			
38.1	prevention	防止，予防			
39	reduce	～を減らす，AをBにする(+A to B)，変える			
39.1	reduction	減少，削減，割引			
40	mistake	〜を誤解する，まちがえる，誤り			
40.1	mistaken	誤った，まちがっている			
41	prepare	（〜の）準備をする(+for)，（〜を）用意する			
41.1	preparation	準備，用意			
42	encourage	（人を）はげます，（〜を）促進する			
42.1	encouragement	はげまし，促進			
43	prove	～だとわかる(=turn out)，〜を証明する			
43.1	proof	証拠，証明			
44	treat	～を扱う，〜を手当てする，楽しみ，慶び，おごり			
