番号	英単語	和訳	処理用	例文1（英語）	例文1（日本語）
1	telecommute	在宅勤務する		\enword{telecommute} instead of going to the office	オフィスに行く代わりに\jpword{在宅勤務する}
2	remotely	遠くで・（否定文で）まったく〜ない			
3					
4					
5	outsource	外部に委託する		This work should be \enword{outsourced} in order to increase productivity.	生産性を向上させるためには、この作業は\jpword{外注す}{る}べきである。
6					
7					
8					
9					
10					
11					
12					
13					
14					
15					
16					
17					
18	electronically	コンピューター上で・オンラインで		Your report can be submitted \enword{electronically}.	レポートは\jpword{オンラインで}{（電子的に）}提出できます．
19					
20					
21					
22					
23					
24					
25					
26					
27					
28					
29					
30					
31					
32					
33					
34					
35					
36	single-use	使い捨ての		Suppose you cannot use any \enword{single-use} items. How would your life change?	仮に\jpword{使い捨ての}{}ものは一切使えないとする。あなたの生活はどう変わるだろうか？
37					
38					
39					
40	vegan	ヴィーガン／ヴィーガンの		This field would help solve food problems as well as \enword{vegans}.	この分野は\jpword{ヴィーガン}{}だけでなく、食糧問題の解決にも助けになるだろう。
41					
42					
43					
44					
45					
46					
47					
48					
49					
50					
51	utensil	（主に台所の）用具		I have not yet prepared any cooking \enword{utensils} since I moved here.	こちらに来てから、まだ調理\jpword{器具}{}を用意していない。
52					
53					
54	document	書類・文書／記録する		All I have to do now is \enword{document} what has been decided.	私が今やらなければならないのは、何が決まったかを\jpword{文書化する}{}ことだ。
55	material	材料・資料・生地		gather \enword{material} for the word test	単語テストのための\jpword{資料}{}を集める
56					
57					
58					
59	garment	衣服		This is the finest \enword{garment} we have.	これは当店で最高級の\jpword{衣服}{}です．
60					
61					
62					
63					
64					
65					
66					
67	upcoming	やってくる・今度の		The \enword{upcoming} repair work will repair a leak in the roof.	\jpword{今度の}{}補修工事では、屋根の雨漏りを修理する。
68	appointment	（人と会う）約束・（病院の）予約・任命		I have to leave here because of a dentist \enword{appointment}.	歯医者の\jpword{予約}{}があるから帰らないといけない。
69					
70					
71					
72					
73					
74					
75					
76					
77					
78	launch	発売する・開始する／発売・開始		The first hydrogen fuel cell electric vehicle was \enword{launched} by Toyota in 2014.	最初の水素燃料電池電気自動車は、トヨタが2014年に\jpword{発売した}{}。
79					
80					
81					
82					
83					
84					
85					
86					
87					
88					
89					
90	invoice	請求書		We have sent you an \enword{invoice}, please check it.	\jpword{請求書}{}を送りましたので、ご確認ください。
91	bill	請求書・勘定書・法案／請求書を送る			
92					
93	utility	実用性・公共事業		The Osaka Expo is said to be generating enormous economic benefits in terms of \enword{utilities}.	大阪万博は、\jpword{公共事業}{}の面で莫大な経済効果を生み出していると言われている。
94					
95	contract	契約（書）／契約する		rice transactions under negotiated \enword{contracts}	随時\jpword{契約}{}によるコメの取引
96					
97					
98					
99					
100	transfer	移る・移す／転送する／乗り換える		What if I \enword{transferred} to a school abroad, what will my friends do?	私が海外の学校に\jpword{転校}{する}したら、友達はどうするのでしょうか？
101					
102					
103					
104	confidential	秘密の・機密の		This vulnerability could result in the leakage of \enword{confidential} information such as customer information.	この脆弱性が原因で、顧客情報などの\jpword{機密情報}{}が流出する可能性がある。
105					
106					
107	renew	更新する		The station was crowded with people seeking to \enword{renew} their commuter passes.	駅は定期券の\jpword{更新}{する}を求める人々で混雑していた。
108					
109					
110					
111					
112					
113					
114					
115					
116					
117					
118					
119					
120					
121					
122	event	場合・出来事・イベント		Watch your step in the \enword{event} of a large outbreak of millipedes.	ヤスデが大量発生した\jpword{場合}{}は、足元に注意してください。
123					
124	initial	最初の・当初の／イニシャル・頭文字		The purpose of this research is different from the \enword{initial} one.	この研究の目的は\jpword{当初の}{}ものとは異なる。
125					
126					
127					
128					
129					
130					
131					
132					
133					
134					
135					
136					
137					
138					
139	count	数える・重要である・（count on \textasciitilde で）頼る／総数		Positive attitudes \enword{count} for much in group work.	グループワークでは、積極的な態度が\jpword{重要である}{}．
140					
141					
142					
143					
144					
145	represent	表す・代表する		He stated it as if he \enword{represented} all human beings.	彼はまるで自分がすべての人間を\jpword{代表}{する}しているかのように述べた。
146					
147					
148					
149					
150					
151					
152					
153					
154	accompany	付き添う・伴う		Photo of eruption \enword{accompanied} by lightning	雷を\jpword{伴う}{}噴火の写真
155					
156	replace	取り替える・取って代わる・〜の後任となる		We need to \enword{replace} all the PCs in this company soon.	近々、社内のPCをすべて\jpword{取り替える}{}必要がある。
157					
158					
159					
160					
161					
162					
163	sample	サンプル・見本／試す・試食する		You can \enword{sample} the ice over there! Let's go. --- Ice...?	あそこで氷の\jpword{試食}{する}ができる！行こう！ --- 氷...？
164					
165					
166					
167					
168					
169	track	跡・道／跡を追う・追跡する・記録する		He \enword{tracked} a hornet by tagging it.	彼はスズメバチにタグを付けて\jpword{追跡}{する}した。
170					
171					
172					
173					
174					
175					
176					
177					
178					
179	forward	前方に／送る・転送する		This means \enword{forwarding} the email to everyone listed here.	これは、ここにリストアップされている全員にメールを\jpword{転送する}{}ことを意味する。
180					
181	volunteer	ボランティアをする・進んで申し出る／ボランティア		She \enword{volunteered} to talk to me.	彼女は\jpword{自ら進んで}{〜する}私に話しかけてきた。
182					
183	seal	印鑑・封印／封をする		\ruby{Ivory}{象牙} is consumed in Japan for \enword{seals}.	日本では\jpword{印鑑}{}用に象牙が消費されている。
184					
185					
186					
187					
188					
189	design	設計する・意図する・狙う／デザイン		The satellite \enword{designed} by the students will be launched next year.	学生たちが\jpword{設計}{する}した衛星は来年打ち上げられる。
190					
191					
192	staff	スタッフ・職員／職員を配置する		She will be \enword{staffed} as a receptionist next month.	彼女は来月から受付に\jpword{配属}{する}される。
193					
194					
195					
196					
197					
198					
199					
200					
201					
202					
203					
204					
205					
206					
207					
208					
209					
210					
211					
212					
213	interview	面接／／面接する・面接を受ける		He is absent today because he has a job \enword{interview}.	彼は今日、就職\jpword{面接}{}があるため欠席しています。
214					
215	install	取り付ける・設置する／インストールする		Air conditioners sold on Amazon must be \enword{install}ed by yourself or by a contractor you arrange yourself.	Amazonで販売されているエアコンは、自分で\jpword{設置する}{}か、自分で業者を手配する必要があります。
216					
217					
218					
219	introduce	紹介する／導入する／売り出す・発売する		Lawson announced that it will \enword{introduce} an automated cooking robot at its Kita-Otsuka 1-chome store.	ローソンは、北大塚一丁目店に自動調理ロボットを\jpword{導入する}{}と発表しました。
220					
221					
222	extend	延長する／広がる・広げる／与える・伝える		Since some students were unable to view the video, I have \enword{extend}ed the deadline for submitting the assignment.	一部の学生が動画を視聴できなかったため、課題の提出期限を\jpword{延長}{する}しました。
223					
224					
225					
226	afford	余裕がある・与える		We don't \enword{afford} to repair everything for next time.	次回のためにすべてを修理する\jpword{余裕}{がある}はありません。
227					
228					
229					
230					
231					
232					
233					
234					
235					
236					
237	establishment	設立・施設		Work experience took place at business \enword{establishment}s in the city.	市内の事業\jpword{施設}{（事業所）}で職業体験が行われました。
238					
239	square	正方形・広場・平方		The redevelopment of the station includes the creation of a \enword{square} where residents can interact.	駅の再開発には、住民が交流できる\jpword{広場}{}を整備することが含まれます。
240					
241					
242					
243					
244	room	部屋／空間・スペース／余地・可能性		There is no \enword{room} for pity.	哀れみの\jpword{余地}{}はない。
245					
246					
247					
248					
249					
250					
251					
252					
253					
254					
255	fine	立派な・申し分ない／晴れた・元気な／細かい／／罰金／／罰金を科する		Smoking around stations in this city is subject to \enword{fine}s.	この市の駅周辺での喫煙は\jpword{罰金}{}が科せられます。
256					
257	balance	はかり・残高・未払い額／／バランスをとる		You need to pay the remaining \enword{balance}.	\jpword{差額}{}を支払う必要があります
258					
259					
260					
261					
262	exhaust	疲れさせる・使い果たす		I am \enword{exhaust}ed after finishing my linear algebra assignment.	線形代数の課題を終えて、私はとても\jpword{疲れ}{させる}ました。
263					
264					
265					
266					
267					
268					
269					
270					
271					
272	fare	運賃・食事		The \enword{fare} for this bus is a flat rate regardless of distance.	このバスの\jpword{運賃}{}は、距離に関わらず一律料金です。
273					
274					
275					
276					
277					
278					
279	oversight	監督・管理／見落とし・ミス		A problem occurred as a result of a decision made without \enword{oversight}.	\jpword{監督}{}なしの判断の結果として問題が発生しました。
280					
281					
282					
283					
284					
285					
286					
287					
288					
289					
290					
291					
292					
293	prototype	試作品・原型／／試作品をつくる		Rapidas has released a \enword{prototype} of a \SI{2}{nm} semiconductor wafer.	ラピダスは\SI{2}{nm}の半導体ウエハの\jpword{試作品}{}を発表した。
294					
295					
296					
297					
298					
299					
300					
301					
302	ship	配送する・発送する		We are unable to \enword{ship} products due to heavy rain.	大雨のため商品の\jpword{発送}{する}ができません。
303					
304					
305					
306					
307	studio	仕事場・スタジオ		These are the \enword{studio}s of famous artists.	これらは著名なアーティストの\jpword{工房}{}です。
308					
309					
310					
311					
312					
313					
314					
315					
316	claim	主張する／要求する・自分のものだと言う		They \enword{claim} that sodium chloride is harmful.	彼らは、塩化ナトリウムが有害だと\jpword{主張}{する}している。
317					
318					
319					
